Language,Name,Percentage
English,"Trinidad and Tobago",93.5
Arabic,Tunisia,69.9
Turkish,Turkey,87.6
Tuvalu,Tuvalu,92.5
Min,Taiwan,66.7
Nyamwesi,Tanzania,21.1
Ganda,Uganda,18.1
Ukrainian,Ukraine,64.7
English,"United States Minor Outlying Islands",0.0
Spanish,Uruguay,95.7
English,"United States",86.2
Uzbek,Uzbekistan,72.6
Italian,"Holy See (Vatican City State)",0.0
"Creole English","Saint Vincent and the Grenadines",99.1
Spanish,Venezuela,96.9
English,"Virgin Islands, British",0.0
English,"Virgin Islands, U.S.",81.7
Vietnamese,Vietnam,86.8
Bislama,Vanuatu,56.6
Futuna,"Wallis and Futuna",0.0
Samoan-English,Samoa,52.0
Arabic,Yemen,99.6
Serbo-Croatian,Yugoslavia,75.2
Zulu,"South Africa",22.7
Bemba,Zambia,29.7
Shona,Zimbabwe,72.1
